Country,Rank,EH - Health Impacts,EH - Air Quality,EH -Water and Sanitation,EV - Water Resources,EV - Agriculture,EV - Forests,EV - Fisheries,EV- Biodiversity and Habitat,EV - Climate and Energy
Switzerland,1,100,76.56,100,96.95,49.24,49.65,0,100,78.14
Luxembourg,2,94.79,81.98,100,95,65.33,33.76,0,100,56.75
Australia,3,100,98.33,100,92.33,66.46,100,19.37,83.08,47.67
Singapore,4,100,98.33,100,99.65,96,0,0,46.33,86.85
Czech Republic,5,100,73.99,97.91,75.68,67.07,45.05,0,98.35,65.82
Germany,6,100,78.5,100,95.18,65.31,31.35,13.4,100,62.77
Spain,7,96.17,97.37,99.33,92.83,65.19,45.05,23.24,56.56,81.84
Austria,8,100,76.45,100,79.05,65.49,19.87,0,86.59,62.09
Sweden,9,100,97.13,100,87.86,65.18,14.35,25.3,62.38,77.34
Norway,10,100,98.33,100,77.05,46.6,32.52,20.88,71.68,75.65
Netherlands,11,100,75.57,100,98.82,65.36,33.76,0,94.69,53.32
United Kingdom,12,100,95.82,100,97.93,66.03,43.06,0,70.11,54.24
Denmark,13,100,92.82,100,93.45,66.06,18.52,8.66,67.74,67.22
Iceland,14,97.97,98.33,100,51.94,50.62,0,16.71,81.9,71.31
Slovenia,15,100,78.13,95.96,53.99,63.43,45.05,0,100,54.59
New Zealand,16,94.16,98.33,71.28,77.9,79.49,100,5.42,76.05,62.94
Portugal,17,100,97.97,96.75,70.33,64.3,7.75,30.07,64.36,80.68
Finland,18,100,98.33,100,84.25,66.99,11.77,32.89,61.86,62.24
Ireland,19,100,98.33,90.47,87.47,66.39,100,16.49,18.74,75.01
Estonia,20,93.47,96.21,77.67,75.27,67.12,9.02,27.66,100,56.71
Slovakia,21,93.13,73.12,97.43,57.64,63.85,21.31,0,84.33,72.48
Italy,22,100,80.85,63.51,91.44,58.87,55.41,24.93,79.77,63.41
Greece,23,100,85.88,87.76,87.33,61.01,22.83,25.86,66.49,59.79
Caoda,24,100,97.85,95.9,80.42,62.52,16.64,21.54,58.4,59.85
United Arab Emirates,25,96.09,86.47,82.41,67.06,92,0,24.25,96.47,33.86
Japan,26,99.2,84.79,100,71.26,46.48,55.41,25.34,73.53,43.54
France,27,100,89.44,100,83.8,65.55,37.94,0,54.45,49.83
Hungary,28,96.71,70.24,99.99,58.62,65.34,100,0,29.57,66.87
Chile,29,91.71,96.8,79.74,68.85,67.39,100,23.35,60.16,35.92
Poland,30,98.71,70.74,59.31,60.73,64.98,58.94,26.52,91.76,60.53
Serbia,31,84.77,67.17,78.19,8.79,96,100,0,99.78,62.92
